frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
10,1,18.8,False,258,29,277,44,0.54,car,0.4
19,2,26.6,False,313,76,364,148,0.53,truck,0.76
31,3,54.7,False,228,155,286,213,0.7,car,1.24
69,4,58.9,False,313,161,378,226,0.59,car,2.76
89,5,36.7,False,206,201,279,275,0.73,car,3.56
153,6,67.1,False,408,174,483,239,0.6,car,6.12
175,7,51.8,False,213,154,277,218,0.76,car,7.0
195,8,46.5,False,308,152,372,222,0.73,car,7.8
283,9,55.0,False,321,172,384,241,0.64,car,11.32
331,10,39.2,False,320,191,393,266,0.59,car,13.24
367,11,54.0,False,406,87,530,257,0.89,bus,14.68
455,12,39.3,False,177,173,247,241,0.57,car,18.2
399,13,26.9,False,198,98,239,137,0.63,car,15.96
437,14,25.9,False,286,135,338,187,0.71,car,17.48
503,15,54.4,False,139,191,213,261,0.7,car,20.12
475,16,39.6,False,319,150,388,229,0.59,car,19.0
511,17,48.4,False,318,182,385,254,0.67,car,20.44
529,18,49.2,False,419,185,503,255,0.53,car,21.16
553,19,51.3,False,302,175,366,242,0.71,car,22.12
635,20,38.6,False,387,160,468,227,0.71,car,25.4
659,21,50.8,False,231,168,288,232,0.58,car,26.36
673,22,43.1,False,442,128,559,263,0.93,bus,26.92
687,23,53.8,False,171,159,238,231,0.52,truck,27.48
735,24,49.1,False,210,184,283,261,0.78,car,29.4
753,25,55.8,False,126,172,206,247,0.67,car,30.12
769,26,49.3,False,319,178,383,244,0.74,car,30.76
797,27,38.6,False,415,199,511,278,0.87,car,31.88
849,28,56.4,False,154,165,224,231,0.77,car,33.96
871,29,7.5,False,156,29,176,46,0.62,car,34.84
885,30,26.3,False,425,106,583,288,0.94,bus,35.4
905,31,45.8,False,333,183,408,256,0.77,car,36.2
935,32,42.9,False,251,176,314,245,0.72,car,37.4
1055,33,21.7,False,0,149,38,215,0.5,car,42.2
959,34,41.2,False,202,179,268,250,0.7,car,38.36
987,35,17.7,False,148,39,171,57,0.62,car,39.48
1021,37,30.8,False,320,135,377,203,0.63,car,40.84
1035,38,7.9,False,163,36,190,56,0.67,car,41.4
1063,39,44.8,False,324,176,392,248,0.7,car,42.52
1083,40,5.8,False,153,28,175,47,0.62,car,43.32
1087,41,57.2,False,146,175,222,248,0.72,car,43.48
1129,42,14.2,False,90,63,128,101,0.59,car,45.16
