frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
8,14,103.1,True,317,93,384,191,0.99,truck,0.32
39,20,55.3,False,239,120,288,167,0.99,car,1.56
48,21,29.5,False,438,125,455,142,0.99,motorcycle,1.92
79,24,51.7,False,306,117,361,169,0.99,car,3.16
106,27,51.9,False,235,120,285,167,0.99,car,4.24
168,28,43.1,False,381,113,432,155,0.99,car,6.72
184,29,50.0,False,228,117,282,167,0.99,car,7.36
202,30,65.2,False,306,114,363,173,0.99,car,8.08
297,31,44.3,False,312,119,360,165,0.99,car,11.88
350,32,41.9,False,304,120,356,167,0.99,car,14.0
375,34,27.5,False,396,70,507,215,0.99,bus,15.0
390,35,60.3,False,183,117,239,169,0.99,car,15.6
442,36,38.1,False,281,119,332,166,0.99,car,17.68
469,38,45.8,False,205,117,258,166,0.99,car,18.76
491,40,31.9,False,308,106,365,164,0.99,car,19.64
522,44,41.1,False,182,120,235,165,0.99,car,20.88
531,45,37.2,False,311,120,360,166,0.99,car,21.24
551,46,33.3,False,374,121,433,167,0.99,car,22.04
570,47,36.8,False,301,120,349,167,0.99,car,22.8
652,48,31.1,False,364,120,425,167,0.99,car,26.08
672,49,46.0,False,245,119,289,165,0.99,car,26.88
692,50,30.5,False,420,95,509,194,0.99,bus,27.68
700,51,42.7,False,191,110,244,163,0.99,car,28.0
755,52,39.1,False,230,117,284,170,0.99,car,30.2
766,53,51.6,False,165,114,224,168,0.99,car,30.64
787,54,38.4,False,314,120,361,165,0.99,car,31.48
834,55,23.3,False,356,121,417,165,0.99,car,33.36
861,57,48.6,False,182,118,237,165,0.99,car,34.44
926,58,34.8,False,321,121,372,168,0.99,car,37.04
953,64,39.4,False,253,119,298,167,0.99,car,38.12
980,66,32.6,False,227,117,276,168,0.99,truck,39.2
988,56,6.8,False,403,82,517,207,0.99,bus,39.52
1019,67,56.5,False,-5,182,65,259,0.99,car,40.76
1031,69,33.8,False,317,112,363,165,0.99,truck,41.24
1082,75,35.0,False,314,120,366,169,0.99,car,43.28
1103,79,41.6,False,180,117,234,168,0.99,car,44.12
