frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
18,176,52.2,False,-6,165,33,192,0.99,car,0.6206896551724138
28,177,40.9,False,87,164,128,193,0.99,car,0.9655172413793104
59,183,30.4,False,48,167,105,211,0.99,car,2.0344827586206895
165,188,105.5,True,74,158,118,196,0.99,truck,5.689655172413793
197,210,21.6,False,89,162,131,193,0.99,car,6.793103448275862
227,212,19.1,False,46,163,90,190,0.99,car,7.827586206896552
326,225,25.4,False,44,162,89,194,0.99,car,11.241379310344827
330,226,25.3,False,147,162,179,194,0.99,car,11.379310344827585
358,224,13.2,False,42,153,101,201,0.99,car,12.344827586206897
624,279,70.6,False,-2,137,81,218,0.99,truck,21.517241379310345
676,292,46.6,False,92,162,146,209,0.99,car,23.310344827586206
755,270,35.7,False,355,85,385,103,0.99,car,26.03448275862069
828,281,111.3,True,11,146,86,208,0.99,car,28.551724137931036
930,333,35.8,False,320,68,390,119,0.99,truck,32.06896551724138
985,334,28.6,False,344,78,367,93,0.99,car,33.96551724137931
1081,349,39.2,False,85,154,138,203,0.99,car,37.275862068965516
1097,348,41.2,False,3,147,84,207,0.99,car,37.827586206896555
1105,363,55.6,False,95,148,151,204,0.99,car,38.10344827586207
1125,316,5.0,False,315,155,372,197,0.99,truck,38.793103448275865
1240,381,51.9,False,8,153,75,210,0.99,car,42.758620689655174
1251,328,5.0,False,318,60,430,131,0.99,truck,43.13793103448276
1334,399,100.9,True,298,88,321,102,0.99,car,46.0
1341,397,33.6,False,334,85,362,102,0.99,car,46.241379310344826
1399,407,40.0,False,356,86,380,100,0.99,car,48.241379310344826
1403,323,35.7,False,305,86,329,104,0.99,car,48.37931034482759
1415,409,31.7,False,329,85,352,99,0.99,car,48.793103448275865
1460,410,34.7,False,83,159,140,209,0.99,car,50.3448275862069
1470,413,36.0,False,2,153,73,212,0.99,car,50.689655172413794
1572,427,41.0,False,4,157,76,220,0.99,car,54.206896551724135
1590,430,45.4,False,-10,155,41,200,0.99,car,54.827586206896555
1675,396,5.0,False,332,84,357,98,0.99,car,57.758620689655174
1687,439,44.1,False,370,83,409,105,0.99,car,58.172413793103445
1712,372,5.0,False,280,85,303,105,0.99,car,59.03448275862069
1749,454,43.4,False,369,79,397,94,0.99,car,60.310344827586206
1773,341,5.0,False,284,85,308,105,0.99,car,61.13793103448276
1786,470,45.4,False,352,83,389,106,0.99,car,61.58620689655172
1807,477,50.0,False,371,81,401,94,0.99,car,62.310344827586206
1829,482,56.6,False,375,82,407,100,0.99,car,63.06896551724138
1868,429,92.8,False,9,156,75,204,0.99,car,64.41379310344827
1868,467,49.4,False,316,84,344,107,0.99,car,64.41379310344827
1885,490,64.5,False,386,82,434,109,0.99,car,65.0
1900,469,48.0,False,282,84,307,105,0.99,car,65.51724137931035
1902,486,55.9,False,94,149,151,207,0.99,car,65.58620689655173
1914,464,12.9,False,315,81,351,108,0.99,car,66.0
1928,492,54.2,False,379,84,413,104,0.99,car,66.48275862068965
1929,466,18.0,False,281,84,302,101,0.99,car,66.51724137931035
1954,504,52.4,False,93,164,150,216,0.99,car,67.37931034482759
1963,505,50.1,False,369,83,399,102,0.99,car,67.6896551724138
1973,252,41.4,False,277,83,299,100,0.99,car,68.03448275862068
1976,508,39.2,False,319,85,344,103,0.99,bus,68.13793103448276
1987,512,49.3,False,349,85,377,101,0.99,car,68.51724137931035
2005,498,40.4,False,0,147,87,213,0.99,car,69.13793103448276
2013,520,115.0,True,-8,134,97,226,0.99,truck,69.41379310344827
2051,521,44.1,False,322,86,348,105,0.99,truck,70.72413793103448
2062,523,83.4,False,385,84,428,106,0.99,car,71.10344827586206
2062,524,105.3,True,286,86,307,104,0.99,car,71.10344827586206
2123,515,52.8,False,1,146,77,211,0.99,truck,73.20689655172414
2175,539,55.9,False,378,84,411,103,0.99,car,75.0
2191,540,44.6,False,342,79,378,102,0.99,car,75.55172413793103
2288,545,43.2,False,0,161,69,215,0.99,car,78.89655172413794
2311,548,49.8,False,3,145,83,214,0.99,car,79.6896551724138
2348,553,95.4,False,8,143,85,209,0.99,car,80.96551724137932
2353,557,48.6,False,366,78,391,92,0.99,car,81.13793103448276
2509,572,43.0,False,341,83,365,97,0.99,car,86.51724137931035
2521,573,48.4,False,368,78,396,93,0.99,car,86.93103448275862
2570,574,51.1,False,11,153,79,203,0.99,car,88.62068965517241
2602,565,113.9,True,316,85,341,103,0.99,truck,89.72413793103448
2617,581,55.2,False,275,78,294,92,0.99,car,90.24137931034483
2620,577,45.4,False,8,155,74,205,0.99,car,90.34482758620689
2661,588,57.0,False,373,81,403,95,0.99,car,91.75862068965517
2675,560,36.0,False,308,80,334,100,0.99,car,92.24137931034483
2721,329,60.6,False,90,147,151,208,0.99,car,93.82758620689656
2725,595,92.2,False,325,78,346,92,0.99,truck,93.96551724137932
2745,590,43.6,False,88,150,144,204,0.99,car,94.65517241379311
2788,584,104.9,True,9,149,77,205,0.99,car,96.13793103448276
2921,613,48.0,False,361,78,388,92,0.99,car,100.72413793103448
2966,614,49.9,False,79,152,142,212,0.99,car,102.27586206896552
2977,594,9.8,False,304,78,328,93,0.99,car,102.65517241379311
2998,626,59.0,False,86,159,154,215,0.99,car,103.37931034482759
2999,623,44.6,False,346,85,374,101,0.99,car,103.41379310344827
3008,541,7.9,False,277,81,303,104,0.99,truck,103.72413793103448
3049,631,54.3,False,368,79,395,93,0.99,car,105.13793103448276
3090,634,41.9,False,313,84,336,101,0.99,car,106.55172413793103
3163,645,92.6,False,90,149,154,208,0.99,car,109.06896551724138
3174,635,42.6,False,309,84,337,105,0.99,car,109.44827586206897
3270,670,70.9,False,4,148,79,207,0.99,car,112.75862068965517
3277,624,6.8,False,174,80,197,104,0.99,truck,113.0
3296,647,93.7,False,78,150,140,210,0.99,truck,113.65517241379311
3319,669,47.5,False,90,150,148,209,0.99,car,114.44827586206897
3485,695,44.6,False,341,80,366,98,0.99,car,120.17241379310344
3497,699,40.3,False,364,78,396,94,0.99,car,120.58620689655173
3506,383,90.6,False,2,144,80,211,0.99,car,120.89655172413794
3523,705,44.8,False,372,81,404,98,0.99,car,121.48275862068965
3538,696,47.3,False,12,152,83,209,0.99,car,122.0
