frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
14,1,59.0,False,315,83,371,162,0.99,truck,0.56
46,9,32.2,False,246,104,285,142,0.99,car,1.84
86,12,30.5,False,308,101,352,143,0.99,car,3.44
112,13,31.6,False,244,108,280,143,0.99,car,4.48
190,15,33.4,False,238,105,282,145,0.99,car,7.6
207,19,38.8,False,310,101,357,150,0.99,car,8.28
304,22,27.3,False,312,104,352,142,0.99,car,12.16
358,24,25.5,False,301,104,345,143,0.99,car,14.32
383,25,24.5,False,392,63,489,187,0.99,truck,15.32
397,27,33.2,False,198,97,238,138,0.99,car,15.88
449,28,25.2,False,282,105,325,146,0.99,car,17.96
476,31,27.1,False,214,104,259,145,0.99,car,19.04
499,34,21.2,False,309,94,355,143,0.99,car,19.96
530,37,24.9,False,192,104,230,141,0.99,car,21.2
540,38,21.8,False,311,104,352,142,0.99,car,21.6
560,39,20.2,False,362,105,412,143,0.99,car,22.4
580,40,22.7,False,303,105,341,141,0.99,car,23.2
663,42,20.0,False,358,104,409,147,0.99,car,26.52
679,43,29.2,False,251,106,286,143,0.99,car,27.16
705,44,17.1,False,412,85,486,166,0.99,car,28.2
705,46,29.6,False,198,98,240,144,0.99,car,28.2
764,49,22.3,False,241,103,283,145,0.99,car,30.56
775,50,28.4,False,182,92,230,137,0.99,car,31.0
795,51,24.4,False,314,106,355,145,0.99,car,31.8
846,52,15.8,False,346,105,397,143,0.99,car,33.84
865,58,35.0,False,188,101,235,147,0.99,car,34.6
933,60,22.4,False,319,99,365,147,0.99,car,37.32
961,65,22.4,False,254,104,294,147,0.99,truck,38.44
990,66,21.4,False,234,101,277,145,0.99,car,39.6
1037,70,23.5,False,317,102,356,149,0.99,car,41.48
1064,57,5.0,False,392,71,493,180,0.99,bus,42.56
1090,75,22.0,False,313,104,358,146,0.99,car,43.6
1113,79,25.3,False,193,96,234,137,0.99,car,44.52
