frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
43,6,60.0,False,246,114,283,149,0.99,car,1.72
86,7,34.3,False,309,108,349,140,0.99,car,3.44
107,13,102.9,True,232,123,281,161,0.99,car,4.28
165,17,80.0,False,387,123,440,166,0.99,car,6.6
185,14,99.5,False,228,124,281,165,0.99,car,7.4
202,19,60.0,False,310,118,359,167,0.99,car,8.08
297,23,60.0,False,316,122,358,163,0.99,car,11.88
371,24,18.9,False,297,36,318,54,0.99,car,14.84
377,28,42.4,False,400,72,497,201,0.99,bus,15.08
443,33,34.3,False,287,121,327,158,0.99,car,17.72
470,30,48.0,False,207,124,256,162,0.99,car,18.8
522,37,42.4,False,183,122,235,163,0.99,car,20.88
531,39,55.4,False,316,123,357,163,0.99,bus,21.24
552,43,48.0,False,373,122,428,161,0.99,car,22.08
570,44,37.9,False,305,123,347,164,0.99,bus,22.8
652,50,40.0,False,367,122,423,164,0.99,car,26.08
672,51,65.5,False,248,121,286,162,0.99,car,26.88
694,54,27.7,False,420,98,502,183,0.99,bus,27.76
786,65,42.4,False,317,123,360,166,0.99,car,31.44
834,71,20.0,False,356,124,418,165,0.99,car,33.36
861,73,48.0,False,185,122,235,162,0.99,car,34.44
926,77,34.3,False,323,122,373,166,0.99,car,37.04
979,84,55.4,False,228,120,274,169,0.99,car,39.16
1002,75,6.1,False,404,81,516,207,0.99,bus,40.08
1029,89,42.4,False,318,119,363,169,0.99,truck,41.16
1083,94,48.0,False,316,120,364,163,0.99,bus,43.32
1109,97,42.4,False,189,112,229,145,0.99,car,44.36
