frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
51,11,18.2,False,737,402,919,537,0.99,car,1.7
52,4,17.3,False,363,391,575,548,0.99,car,1.7333333333333334
54,3,17.5,False,87,209,191,293,0.99,car,1.8
106,13,8.8,False,66,205,161,297,0.99,car,3.533333333333333
126,6,7.9,False,674,392,873,547,0.99,car,4.2
148,20,9.8,False,62,211,158,292,0.99,car,4.933333333333334
154,7,5.0,False,350,390,527,546,0.99,car,5.133333333333334
183,21,10.7,False,50,212,146,291,0.99,car,6.1
192,8,5.0,False,746,396,934,543,0.99,car,6.4
207,9,5.0,False,368,391,545,547,0.99,car,6.9
246,25,7.7,False,68,212,157,291,0.99,car,8.2
251,28,14.2,False,388,385,576,551,0.99,car,8.366666666666667
264,19,5.0,False,776,386,976,553,0.99,car,8.8
280,27,9.0,False,74,212,177,291,0.99,car,9.333333333333334
