frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
158,6,40.43,False,395,146,460,200,0.64,car,6.32
176,7,33.91,False,219,148,277,206,0.76,car,7.04
196,8,42.68,False,309,142,369,207,0.6,car,7.84
284,9,35.99,False,320,164,380,227,0.74,car,11.36
332,10,38.68,False,316,182,387,251,0.67,car,13.28
368,11,35.12,False,406,84,524,246,0.89,bus,14.72
379,12,31.31,False,152,174,224,246,0.52,truck,15.16
400,13,19.49,False,199,93,241,132,0.58,car,16.0
437,14,21.8,False,286,135,338,187,0.71,car,17.48
521,15,23.1,False,178,127,227,170,0.58,car,20.84
474,16,30.28,False,319,150,388,229,0.59,car,18.96
512,17,31.66,False,316,175,383,242,0.69,car,20.48
530,18,32.17,False,415,178,495,244,0.66,car,21.2
554,19,33.34,False,302,167,363,231,0.76,car,22.16
638,20,24.68,False,383,149,456,210,0.72,car,25.52
659,21,38.09,False,231,168,288,232,0.58,car,26.36
674,22,28.48,False,439,125,552,254,0.77,bus,26.96
686,23,37.54,False,171,159,238,231,0.52,truck,27.44
736,24,32.23,False,210,176,283,248,0.77,car,29.44
756,25,40.93,False,140,152,212,218,0.53,car,30.24
770,26,32.04,False,319,170,380,232,0.79,car,30.8
798,27,24.83,False,411,195,504,271,0.84,car,31.92
850,28,36.73,False,160,156,225,219,0.76,car,34.0
927,29,16.19,False,41,96,88,137,0.51,truck,37.08
888,30,17.08,False,423,104,572,276,0.94,bus,35.52
906,31,29.81,False,332,177,405,245,0.73,car,36.24
936,32,31.26,False,251,168,312,234,0.61,car,37.44
941,33,16.95,False,0,143,29,200,0.51,car,37.64
960,34,29.09,False,205,171,269,241,0.68,car,38.4
1012,35,103.56,True,115,60,148,87,0.77,car,40.48
1022,37,21.57,False,320,130,374,196,0.61,car,40.88
1059,38,160.5,True,99,13,146,58,0.59,bus,42.36
1066,39,28.66,False,321,163,384,226,0.6,car,42.64
1190,40,10.13,False,101,95,142,135,0.5,car,47.6
1088,41,37.97,False,152,167,222,234,0.63,car,43.52
1135,42,9.89,False,75,71,117,113,0.51,car,45.4
