frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
25,1,32.5,False,311,63,354,121,0.99,motorcycle,1.0
46,9,32.3,False,246,104,285,142,0.99,car,1.84
86,12,32.3,False,308,101,352,143,0.99,car,3.44
112,13,32.0,False,244,108,280,143,0.99,car,4.48
190,15,33.2,False,238,105,282,145,0.99,car,7.6
207,19,41.2,False,310,101,357,150,0.99,car,8.28
304,22,28.5,False,312,104,352,142,0.99,car,12.16
358,24,25.8,False,301,104,345,143,0.99,car,14.32
397,27,34.0,False,198,97,238,138,0.99,car,15.88
410,25,12.0,False,374,45,448,125,0.99,motorcycle,16.4
449,28,24.5,False,282,105,325,146,0.99,car,17.96
476,31,27.5,False,214,104,259,145,0.99,car,19.04
499,34,21.8,False,309,94,355,143,0.99,car,19.96
530,37,25.1,False,192,104,230,141,0.99,car,21.2
540,38,23.4,False,311,104,352,142,0.99,car,21.6
560,39,20.6,False,362,105,412,143,0.99,car,22.4
580,40,21.5,False,303,105,341,141,0.99,car,23.2
663,42,18.5,False,358,104,409,147,0.99,car,26.52
679,43,29.6,False,251,106,286,143,0.99,car,27.16
705,44,17.8,False,412,85,486,166,0.99,car,28.2
705,46,29.6,False,198,98,240,144,0.99,car,28.2
764,49,23.6,False,241,103,283,145,0.99,car,30.56
775,50,28.1,False,182,92,230,137,0.99,car,31.0
795,51,23.4,False,314,106,355,145,0.99,car,31.8
846,52,14.9,False,346,105,397,143,0.99,car,33.84
865,58,35.0,False,188,101,235,147,0.99,car,34.6
933,60,24.0,False,319,99,365,147,0.99,car,37.32
961,65,23.8,False,254,104,294,147,0.99,truck,38.44
990,66,21.2,False,234,101,277,145,0.99,car,39.6
1013,70,102.5,True,324,159,387,238,0.99,motorcycle,40.52
1064,57,5.0,False,392,71,493,180,0.99,bus,42.56
1090,75,23.1,False,313,104,358,146,0.99,car,43.6
1104,71,45.2,False,-7,164,45,234,0.99,motorcycle,44.16
1113,79,24.8,False,193,96,234,137,0.99,car,44.52
