frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
472,1,3.81,False,236,24,254,40,0.61,car,18.88
164,4,3.28,False,293,29,312,44,0.51,car,6.56
184,5,4.71,False,263,33,283,49,0.63,car,7.36
158,6,60.37,False,395,146,460,200,0.64,car,6.32
172,7,44.84,False,210,164,276,231,0.75,car,6.88
196,8,43.73,False,309,142,369,207,0.6,car,7.84
280,9,46.81,False,322,182,389,256,0.75,car,11.2
328,10,43.72,False,322,202,399,281,0.63,car,13.12
364,11,45.87,False,408,92,538,271,0.91,bus,14.56
378,12,43.8,False,152,174,224,246,0.52,truck,15.12
398,13,23.68,False,198,98,239,137,0.63,car,15.92
426,14,23.59,False,292,166,351,230,0.65,car,17.04
502,15,52.75,False,139,191,213,261,0.7,car,20.08
470,16,34.49,False,321,167,398,251,0.6,car,18.8
508,17,41.82,False,319,190,389,266,0.58,car,20.32
526,18,43.1,False,425,193,512,264,0.64,car,21.04
550,19,43.54,False,302,183,367,256,0.71,car,22.0
632,20,32.25,False,391,166,474,236,0.76,car,25.28
658,21,41.9,False,231,168,288,232,0.58,car,26.32
670,22,38.25,False,445,132,566,272,0.92,bus,26.8
682,23,51.14,False,164,179,239,257,0.64,truck,27.28
732,24,42.93,False,207,192,284,273,0.85,car,29.28
978,25,147.24,True,135,66,168,96,0.7,car,39.12
766,26,41.89,False,319,186,387,257,0.68,car,30.64
794,27,32.69,False,419,206,518,287,0.83,car,31.76
846,28,47.96,False,148,175,223,246,0.84,car,33.84
1048,29,27.26,False,0,128,64,185,0.65,car,41.92
884,30,22.28,False,425,106,583,288,0.94,bus,35.36
902,31,39.26,False,334,192,410,268,0.74,car,36.08
934,32,35.42,False,251,176,314,245,0.72,car,37.36
1106,33,26.77,False,0,180,23,234,0.68,car,44.24
958,34,34.81,False,202,179,268,250,0.7,car,38.32
1022,35,177.33,True,93,71,131,103,0.8,car,40.88
1092,36,14.62,False,21,118,94,176,0.57,car,43.68
1020,37,25.77,False,320,135,377,203,0.63,car,40.8
1044,38,173.56,True,112,10,152,51,0.51,bus,41.76
1060,39,37.7,False,325,184,398,259,0.68,car,42.4
1110,40,112.24,True,170,27,189,41,0.56,car,44.4
1084,41,51.11,False,142,185,221,261,0.67,car,43.36
1134,42,16.26,False,75,71,117,113,0.51,car,45.36
1188,43,3.29,False,121,9,162,48,0.65,bus,47.52
