frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
61,99,92.8,False,913,364,1066,515,0.99,car,2.103448275862069
61,100,92.8,False,717,377,843,529,0.99,car,2.103448275862069
98,98,104.4,True,720,362,859,516,0.99,car,3.3793103448275863
131,104,104.4,True,932,356,1076,511,0.99,car,4.517241379310345
134,102,92.8,False,684,374,817,539,0.99,car,4.620689655172414
238,108,104.4,True,709,377,826,527,0.99,car,8.206896551724139
245,114,112.9,True,923,363,1062,514,0.99,car,8.448275862068966
255,107,104.4,True,567,349,696,519,0.99,car,8.793103448275861
281,112,104.4,True,361,357,501,512,0.99,car,9.689655172413794
305,117,104.4,True,713,368,851,537,0.99,car,10.517241379310345
315,115,104.4,True,233,357,386,520,0.99,car,10.862068965517242
