frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
534,8,47.8,False,415,177,495,245,0.64,car,21.36
385,10,8.32,False,286,68,318,96,0.75,car,15.4
522,11,5.47,False,301,67,339,105,0.54,car,20.88
396,12,25.36,False,194,108,234,148,0.55,car,15.84
447,13,15.41,False,285,115,328,160,0.72,car,17.88
466,14,27.99,False,199,130,251,183,0.68,car,18.64
485,15,25.31,False,313,119,370,183,0.54,car,19.4
516,16,26.56,False,170,140,218,191,0.66,car,20.64
522,17,24.94,False,315,149,371,205,0.85,car,20.88
558,19,28.27,False,303,164,361,226,0.77,car,22.32
637,20,29.05,False,386,158,465,222,0.72,car,25.48
666,21,31.15,False,238,143,287,196,0.75,car,26.64
683,22,22.39,False,432,114,534,233,0.58,bus,27.32
778,23,21.27,False,181,95,228,138,0.75,car,31.12
712,24,15.09,False,200,91,243,133,0.79,car,28.48
866,25,24.97,False,189,113,233,153,0.75,car,34.64
763,26,12.8,False,236,111,283,157,0.8,car,30.52
769,27,22.3,False,320,192,388,264,0.54,car,30.76
812,28,21.91,False,390,165,469,226,0.81,car,32.48
941,29,21.88,False,0,142,28,201,0.55,car,37.64
896,30,14.96,False,418,101,557,259,0.9,bus,35.84
1077,31,20.94,False,316,135,371,187,0.74,car,43.08
944,32,28.38,False,251,141,303,199,0.59,car,37.76
1003,33,15.69,False,70,111,126,160,0.59,car,40.12
958,34,30.54,False,202,179,269,250,0.84,car,38.32
990,35,92.4,True,144,42,168,62,0.6,car,39.6
1102,36,9.93,False,0,98,39,139,0.72,car,44.08
1126,37,8.07,False,0,36,88,113,0.83,bus,45.04
1190,38,10.41,False,106,90,147,129,0.62,car,47.6
1087,39,38.44,False,146,175,222,247,0.55,car,43.48
1147,40,12.99,False,35,91,90,146,0.59,car,45.88
