frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
7,7,49.6,False,522,232,549,265,0.99,motorcycle,0.28
14,1,60.1,False,315,83,371,162,0.99,truck,0.56
46,9,32.8,False,246,104,285,142,0.99,car,1.84
86,12,32.4,False,308,101,352,143,0.99,car,3.44
112,14,31.9,False,244,108,280,143,0.99,car,4.48
190,18,33.4,False,238,105,282,145,0.99,car,7.6
207,22,40.7,False,310,101,357,150,0.99,car,8.28
304,29,27.4,False,312,104,352,142,0.99,car,12.16
358,37,25.9,False,301,104,345,143,0.99,car,14.32
383,38,24.8,False,392,63,489,187,0.99,truck,15.32
397,44,35.0,False,198,97,238,138,0.99,car,15.88
431,52,45.9,False,105,59,119,86,0.99,motorcycle,17.24
443,56,71.8,False,87,78,102,101,0.99,motorcycle,17.72
449,47,24.3,False,282,105,325,146,0.99,car,17.96
459,62,44.6,False,56,98,72,123,0.99,motorcycle,18.36
476,53,28.1,False,214,104,259,145,0.99,car,19.04
499,58,22.2,False,309,94,355,143,0.99,car,19.96
530,66,24.9,False,192,104,230,141,0.99,car,21.2
540,68,22.1,False,311,104,352,142,0.99,car,21.6
560,70,22.0,False,362,105,412,143,0.99,car,22.4
580,71,22.0,False,303,105,341,141,0.99,car,23.2
663,79,19.2,False,358,104,409,147,0.99,car,26.52
679,80,28.6,False,251,106,286,143,0.99,car,27.16
705,81,18.1,False,412,85,486,166,0.99,car,28.2
705,85,29.1,False,198,98,240,144,0.99,car,28.2
764,88,23.3,False,241,103,283,145,0.99,car,30.56
775,89,29.6,False,182,92,230,137,0.99,car,31.0
795,90,23.9,False,314,106,355,145,0.99,car,31.8
846,91,15.6,False,346,105,397,143,0.99,car,33.84
865,97,33.5,False,188,101,235,147,0.99,car,34.6
933,99,24.2,False,319,99,365,147,0.99,car,37.32
961,104,22.4,False,254,104,294,147,0.99,truck,38.44
990,105,21.5,False,234,101,277,145,0.99,car,39.6
1037,109,22.8,False,317,102,356,149,0.99,car,41.48
1064,96,5.0,False,392,71,493,180,0.99,bus,42.56
1090,114,22.9,False,313,104,358,146,0.99,car,43.6
1113,118,23.9,False,193,96,234,137,0.99,car,44.52
