frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
6,1,107.5,True,733,349,977,599,0.99,car,0.20689655172413793
34,2,76.4,False,1089,357,1305,609,0.99,car,1.1724137931034482
227,4,52.7,False,365,358,565,591,0.99,car,7.827586206896552
231,5,49.2,False,727,368,914,583,0.99,car,7.9655172413793105
266,7,53.3,False,725,350,913,593,0.99,car,9.172413793103448
281,9,49.7,False,386,352,586,594,0.99,car,9.689655172413794
284,8,58.9,False,1051,355,1285,581,0.99,car,9.793103448275861
304,12,53.3,False,741,365,922,589,0.99,car,10.482758620689655
337,14,56.6,False,1062,350,1293,593,0.99,car,11.620689655172415
340,15,53.3,False,756,372,934,579,0.99,car,11.724137931034482
371,17,60.6,False,1034,349,1286,589,0.99,car,12.793103448275861
394,18,51.6,False,760,366,946,588,0.99,car,13.586206896551724
420,19,47.1,False,510,381,654,562,0.99,car,14.482758620689655
423,20,45.1,False,751,356,951,588,0.99,car,14.586206896551724
438,22,46.0,False,1034,367,1267,576,0.99,car,15.10344827586207
445,21,38.8,False,517,380,655,557,0.99,car,15.344827586206897
481,23,47.4,False,1034,379,1247,571,0.99,car,16.586206896551722
516,24,27.5,False,743,410,876,554,0.99,car,17.79310344827586
527,25,25.6,False,234,401,398,535,0.99,car,18.17241379310345
527,26,30.0,False,1009,399,1200,551,0.99,car,18.17241379310345
564,28,29.2,False,760,397,900,543,0.99,car,19.448275862068964
578,29,34.2,False,514,406,647,546,0.99,car,19.93103448275862
617,31,35.5,False,1063,392,1250,554,0.99,car,21.275862068965516
640,30,27.3,False,520,405,662,554,0.99,car,22.06896551724138
673,32,24.6,False,465,387,614,557,0.99,car,23.20689655172414
673,33,30.5,False,779,384,936,567,0.99,car,23.20689655172414
692,34,27.9,False,156,396,358,569,0.99,car,23.862068965517242
706,36,39.0,False,1065,380,1264,561,0.99,car,24.344827586206897
