frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
566,2,56.14,False,764,420,928,606,0.79,car,19.517241379310345
514,3,41.32,False,915,290,1039,390,0.79,car,17.724137931034484
327,4,21.95,False,956,228,1137,400,0.67,car,11.275862068965518
520,5,30.41,False,951,334,1106,460,0.74,car,17.93103448275862
478,6,31.63,False,1000,343,1206,526,0.69,car,16.482758620689655
707,7,33.0,False,1063,376,1279,578,0.83,car,24.379310344827587
402,8,26.78,False,102,43,173,81,0.6,car,13.862068965517242
226,9,92.91,True,715,307,879,499,0.75,car,7.793103448275862
222,10,92.86,True,408,297,586,511,0.64,car,7.655172413793103
270,11,90.14,True,919,196,1070,332,0.67,car,9.310344827586206
272,12,92.46,True,450,250,608,449,0.77,car,9.379310344827585
230,13,91.95,True,914,209,1099,363,0.68,car,7.931034482758621
328,14,74.26,False,721,230,844,364,0.79,car,11.310344827586206
372,15,59.55,False,714,162,813,271,0.69,car,12.827586206896552
674,18,30.54,False,781,400,960,625,0.85,car,23.24137931034483
318,19,84.45,False,901,167,1038,298,0.74,car,10.96551724137931
294,20,73.44,False,711,241,841,399,0.66,car,10.137931034482758
560,21,59.37,False,750,355,877,488,0.76,car,19.310344827586206
370,22,53.58,False,712,153,805,258,0.6,car,12.758620689655173
700,23,89.12,False,1000,309,1166,458,0.58,car,24.137931034482758
476,24,31.49,False,982,321,1165,486,0.66,car,16.413793103448278
358,25,36.89,False,706,104,779,182,0.83,car,12.344827586206897
351,26,93.79,True,648,19,683,53,0.67,car,12.10344827586207
422,27,93.1,True,492,409,654,627,0.8,car,14.551724137931034
386,28,34.39,False,703,95,781,178,0.68,car,13.310344827586206
414,29,73.46,False,861,173,961,266,0.59,car,14.275862068965518
454,30,54.87,False,857,183,946,264,0.57,car,15.655172413793103
530,31,93.1,True,166,434,367,599,0.82,car,18.275862068965516
422,32,16.4,False,262,49,308,77,0.52,car,14.551724137931034
518,33,110.54,True,663,150,704,189,0.88,car,17.862068965517242
638,34,7.33,False,322,68,358,93,0.6,car,22.0
427,35,133.38,True,704,91,740,121,0.69,car,14.724137931034482
500,36,50.46,False,861,223,947,289,0.67,car,17.24137931034483
687,37,179.05,True,690,51,716,73,0.54,car,23.689655172413794
654,38,4.71,False,385,65,421,85,0.5,car,22.551724137931036
688,40,70.84,False,920,228,1030,328,0.66,car,23.724137931034484
572,43,174.46,True,721,95,755,124,0.76,car,19.724137931034484
634,44,84.04,False,546,349,675,479,0.76,car,21.862068965517242
676,46,45.48,False,877,185,958,256,0.71,car,23.310344827586206
592,47,179.95,True,651,129,693,171,0.68,car,20.413793103448278
716,48,60.22,False,578,271,674,363,0.62,car,24.689655172413794
672,49,91.84,True,462,381,616,561,0.73,car,23.17241379310345
716,51,18.65,False,743,123,793,170,0.77,car,24.689655172413794
716,52,171.68,True,640,77,672,105,0.56,car,24.689655172413794
