frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
8,1,102.9,True,317,93,383,190,0.99,truck,0.32
39,9,51.4,False,239,121,288,167,0.99,car,1.56
79,12,51.4,False,307,118,361,168,0.99,car,3.16
106,13,51.4,False,235,120,284,166,0.99,car,4.24
165,15,51.4,False,385,121,439,166,0.99,car,6.6
184,16,48.0,False,229,119,281,167,0.99,car,7.36
202,18,60.0,False,310,117,360,169,0.99,car,8.08
297,21,45.0,False,313,120,359,164,0.99,car,11.88
350,17,42.4,False,304,120,357,167,0.99,car,14.0
374,24,45.0,False,397,71,508,217,0.99,bus,14.96
390,25,60.0,False,184,119,238,168,0.99,car,15.6
442,27,36.0,False,282,120,331,166,0.99,car,17.68
469,30,45.0,False,206,118,258,167,0.99,car,18.76
491,32,36.0,False,309,106,364,164,0.99,car,19.64
522,37,40.0,False,182,121,231,165,0.99,car,20.88
531,38,36.0,False,312,121,359,165,0.99,car,21.24
551,39,32.7,False,374,121,432,166,0.99,car,22.04
570,41,37.9,False,304,123,347,165,0.99,car,22.8
652,43,31.3,False,365,121,424,167,0.99,car,26.08
671,44,48.0,False,245,122,288,167,0.99,car,26.84
692,45,30.0,False,420,96,508,193,0.99,bus,27.68
698,46,48.0,False,188,116,242,171,0.99,car,27.92
756,49,36.0,False,233,117,285,168,0.99,car,30.24
766,50,51.4,False,166,115,224,167,0.99,car,30.64
786,40,40.0,False,314,121,362,168,0.99,car,31.44
834,51,23.2,False,357,122,417,165,0.99,car,33.36
861,54,48.0,False,184,120,234,164,0.99,car,34.44
926,60,34.3,False,322,121,371,167,0.99,car,37.04
953,64,36.0,False,253,121,297,166,0.99,car,38.12
980,66,32.7,False,228,118,276,168,0.99,car,39.2
987,53,6.5,False,403,82,518,207,0.99,bus,39.48
1019,58,55.4,False,-4,182,65,258,0.99,car,40.76
1029,71,45.0,False,318,116,363,170,0.99,car,41.16
1082,76,36.0,False,314,121,365,168,0.99,car,43.28
1103,55,42.4,False,179,117,233,168,0.99,car,44.12
