frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
303,2,21.9,False,731,336,909,580,0.7,car,10.448275862068966
357,3,35.0,False,907,191,1057,330,0.67,car,12.310344827586206
327,4,21.9,False,956,228,1137,400,0.67,car,11.275862068965518
431,5,2.0,False,949,271,1124,435,0.79,car,14.862068965517242
335,6,21.0,False,1039,320,1279,584,0.89,car,11.551724137931034
481,7,1.0,False,1023,369,1255,573,0.71,car,16.586206896551722
121,8,5.7,False,78,4,153,45,0.63,car,4.172413793103448
137,9,7.6,False,683,29,721,61,0.79,car,4.724137931034483
155,10,9.2,False,593,40,646,81,0.71,car,5.344827586206897
199,11,5.4,False,760,18,802,55,0.77,car,6.862068965517241
197,12,10.4,False,603,30,650,69,0.66,car,6.793103448275862
193,13,25.7,False,792,66,864,126,0.64,car,6.655172413793103
203,14,15.7,False,683,53,731,105,0.65,car,7.0
249,15,13.3,False,685,59,735,112,0.58,car,8.586206896551724
425,18,19.5,False,752,392,982,675,0.77,car,14.655172413793103
269,19,11.5,False,780,36,831,78,0.69,car,9.275862068965518
293,20,58.6,False,706,222,830,367,0.67,car,10.10344827586207
333,21,35.2,False,728,267,868,425,0.72,car,11.482758620689655
269,22,12.7,False,684,39,727,77,0.62,car,9.275862068965518
299,23,11.7,False,770,31,817,71,0.68,car,10.310344827586206
435,24,29.0,False,985,312,1199,510,0.55,car,15.0
311,25,9.5,False,694,22,735,64,0.55,car,10.724137931034482
317,26,6.2,False,620,17,656,46,0.67,car,10.931034482758621
359,27,17.9,False,613,61,656,107,0.76,car,12.379310344827585
359,28,25.3,False,695,38,751,96,0.76,car,12.379310344827585
369,29,14.2,False,775,29,818,67,0.66,car,12.724137931034482
399,30,27.9,False,760,40,799,71,0.81,car,13.758620689655173
405,31,22.0,False,596,49,627,78,0.6,car,13.96551724137931
407,32,12.1,False,255,28,306,59,0.58,car,14.03448275862069
411,33,19.3,False,700,57,733,93,0.53,car,14.172413793103448
433,34,6.0,False,328,47,362,71,0.57,car,14.931034482758621
421,35,88.1,False,703,79,737,110,0.72,car,14.517241379310345
437,36,16.3,False,758,86,795,110,0.69,car,15.068965517241379
671,37,5.6,False,664,80,700,110,0.62,car,23.137931034482758
654,38,4.71,False,385,65,421,85,0.5,car,22.551724137931036
509,40,9.1,False,767,103,796,127,0.55,car,17.551724137931036
549,43,6.5,False,710,100,738,122,0.63,car,18.93103448275862
553,44,5.6,False,652,128,691,164,0.64,car,19.06896551724138
583,46,6.6,False,771,78,799,101,0.66,car,20.103448275862068
583,47,160.4,True,631,97,667,130,0.62,car,20.103448275862068
611,48,6.4,False,666,87,703,120,0.7,car,21.06896551724138
613,49,17.6,False,630,154,684,206,0.78,car,21.137931034482758
663,51,5.4,False,728,84,760,108,0.73,car,22.862068965517242
697,52,5.8,False,661,96,702,125,0.7,car,24.03448275862069
