frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
61,1,93.6,False,910,357,1071,508,0.99,car,2.103448275862069
61,2,93.0,False,714,368,846,514,0.99,car,2.103448275862069
99,3,92.1,False,719,367,872,519,0.99,car,3.413793103448276
132,4,92.0,False,939,363,1099,521,0.99,car,4.551724137931035
134,5,92.3,False,680,361,820,516,0.99,car,4.620689655172414
238,6,103.6,True,705,366,830,512,0.99,car,8.206896551724139
246,7,99.4,False,923,362,1081,517,0.99,car,8.482758620689655
256,8,93.1,False,560,356,703,520,0.99,car,8.827586206896552
282,10,92.0,False,349,353,502,514,0.99,car,9.724137931034482
305,11,103.9,True,709,355,855,517,0.99,car,10.517241379310345
316,12,92.2,False,209,365,377,521,0.99,car,10.89655172413793
