frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
240,1,48.98,False,856,255,965,371,0.78,car,8.275862068965518
236,2,0.98,False,703,327,812,471,0.7,car,8.137931034482758
230,3,0.86,False,695,246,776,344,0.61,car,7.931034482758621
242,4,1.28,False,878,289,1003,424,0.76,car,8.344827586206897
244,5,1.36,False,903,332,1052,497,0.68,car,8.413793103448276
240,6,60.33,False,710,398,844,593,0.63,car,8.275862068965518
246,7,1.32,False,919,358,1081,541,0.75,car,8.482758620689655
308,8,0.76,False,716,414,887,660,0.56,car,10.620689655172415
236,9,0.57,False,831,215,923,309,0.7,car,8.137931034482758
300,10,46.99,False,702,272,815,408,0.58,car,10.344827586206897
252,15,90.64,True,1162,160,1279,245,0.77,car,8.689655172413794
294,16,26.5,False,696,213,787,312,0.75,car,10.137931034482758
252,18,93.61,True,574,291,691,442,0.62,car,8.689655172413794
288,19,45.01,False,691,174,765,255,0.76,car,9.931034482758621
268,20,63.1,False,492,204,574,291,0.65,car,9.241379310344827
304,23,178.95,True,997,59,1054,99,0.59,car,10.482758620689655
306,25,77.48,False,371,234,471,340,0.56,car,10.551724137931034
278,26,76.28,False,404,298,533,437,0.7,car,9.586206896551724
322,30,88.16,False,1175,111,1279,183,0.8,car,11.10344827586207
322,34,32.66,False,1160,21,1200,46,0.55,car,11.10344827586207
