frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
178,666,21.4,False,-4,148,39,180,0.99,car,6.137931034482759
419,744,41.8,False,265,95,280,104,0.99,car,14.448275862068966
527,773,64.2,False,375,97,408,114,0.99,car,18.17241379310345
552,768,119.3,True,309,96,337,117,0.99,car,19.03448275862069
558,741,69.6,False,-4,146,45,181,0.99,car,19.24137931034483
623,799,83.5,False,0,152,84,211,0.99,car,21.482758620689655
709,836,69.6,False,88,164,144,210,0.99,car,24.448275862068964
745,842,69.6,False,382,96,421,118,0.99,car,25.689655172413794
791,854,104.4,True,279,98,303,118,0.99,car,27.275862068965516
795,852,69.6,False,317,97,349,120,0.99,car,27.413793103448278
932,888,75.9,False,381,93,414,114,0.99,car,32.13793103448276
965,777,75.9,False,279,95,306,119,0.99,car,33.275862068965516
967,900,75.9,False,389,97,426,118,0.99,car,33.3448275862069
1075,927,64.2,False,316,97,347,120,0.99,car,37.06896551724138
1103,924,69.6,False,108,141,156,187,0.99,car,38.03448275862069
1140,944,83.5,False,278,97,299,113,0.99,car,39.310344827586206
1259,972,83.5,False,380,94,415,115,0.99,car,43.41379310344828
1278,657,69.6,False,268,88,290,105,0.99,car,44.06896551724138
1314,987,46.4,False,359,87,386,101,0.99,car,45.310344827586206
1325,988,59.7,False,314,100,341,117,0.99,car,45.689655172413794
1331,882,55.7,False,357,95,399,121,0.99,car,45.89655172413793
1355,997,46.4,False,345,95,373,110,0.99,car,46.724137931034484
1368,1000,52.2,False,369,89,397,104,0.99,car,47.172413793103445
1389,1007,69.6,False,381,97,419,117,0.99,car,47.89655172413793
1396,1006,52.2,False,316,95,344,115,0.99,car,48.13793103448276
1408,1013,46.4,False,343,91,371,107,0.99,car,48.55172413793103
1414,1021,180.0,True,276,96,303,118,0.99,car,48.758620689655174
1485,1036,75.9,False,385,96,423,117,0.99,car,51.206896551724135
1588,1058,75.9,False,-4,147,55,190,0.99,car,54.758620689655174
1653,1081,104.4,True,305,98,331,117,0.99,car,57.0
1678,1087,92.8,True,398,93,447,121,0.99,car,57.86206896551724
1699,1093,75.9,False,366,95,414,122,0.99,car,58.58620689655172
1707,1096,83.5,False,288,95,310,113,0.99,car,58.86206896551724
1729,1101,69.6,False,330,99,355,116,0.99,car,59.62068965517241
1737,1109,119.3,True,406,96,449,121,0.99,car,59.89655172413793
1759,1117,92.8,True,376,94,422,120,0.99,car,60.6551724137931
1771,1095,59.7,False,284,86,311,106,0.99,car,61.06896551724138
1771,1119,64.2,False,320,87,344,103,0.99,car,61.06896551724138
1780,1124,83.5,False,370,93,415,120,0.99,car,61.37931034482759
1802,1129,75.9,False,385,87,419,104,0.99,car,62.13793103448276
1819,1135,119.3,True,410,96,456,121,0.99,car,62.724137931034484
1848,1146,83.5,False,368,95,408,119,0.99,car,63.724137931034484
1862,1147,83.5,False,328,95,361,119,0.99,car,64.20689655172414
1878,1156,119.3,True,412,90,473,125,0.99,car,64.75862068965517
1913,1174,83.5,False,364,96,400,116,0.99,car,65.96551724137932
1920,1178,92.8,True,406,95,452,121,0.99,car,66.20689655172414
1921,1182,180.0,True,290,96,317,116,0.99,car,66.24137931034483
1936,1184,59.7,False,327,95,361,120,0.99,car,66.75862068965517
1955,1192,104.4,True,393,96,432,117,0.99,car,67.41379310344827
1965,1199,119.3,True,286,97,312,117,0.99,car,67.75862068965517
1968,1195,75.9,False,332,96,371,121,0.99,car,67.86206896551724
1980,1201,92.8,True,370,96,408,116,0.99,car,68.27586206896552
2045,1223,104.4,True,333,95,370,120,0.99,car,70.51724137931035
2056,1233,119.3,True,408,90,465,123,0.99,car,70.89655172413794
2060,1230,64.2,False,289,89,309,104,0.99,car,71.03448275862068
2163,1257,119.3,True,291,96,321,120,0.99,car,74.58620689655173
2167,1259,139.2,True,406,95,449,119,0.99,car,74.72413793103448
2184,1265,92.8,True,362,89,408,116,0.99,car,75.3103448275862
2346,1299,92.8,True,387,88,419,104,0.99,car,80.89655172413794
2353,1298,69.6,False,329,96,359,116,0.99,car,81.13793103448276
2396,1262,59.7,False,360,95,401,117,0.99,car,82.62068965517241
2403,1094,64.2,False,323,94,362,119,0.99,car,82.86206896551724
2424,1312,83.5,False,372,94,415,119,0.99,car,83.58620689655173
2466,1316,92.8,True,373,94,420,122,0.99,car,85.03448275862068
2502,1322,75.9,False,358,93,391,112,0.99,car,86.27586206896552
2509,1323,167.0,True,410,95,455,121,0.99,car,86.51724137931035
2594,1333,64.2,False,331,97,363,117,0.99,car,89.44827586206897
2629,1340,104.4,True,290,99,315,118,0.99,car,90.65517241379311
2651,1343,167.0,True,411,96,455,118,0.99,car,91.41379310344827
2665,1344,83.5,False,328,96,362,119,0.99,car,91.89655172413794
2713,1350,69.6,False,349,94,387,118,0.99,car,93.55172413793103
2897,1367,83.5,False,327,96,366,121,0.99,car,99.89655172413794
2907,1374,139.2,True,288,95,317,121,0.99,car,100.24137931034483
2914,1375,64.2,False,348,87,378,104,0.99,car,100.48275862068965
2914,1377,92.8,True,384,87,417,105,0.99,car,100.48275862068965
2965,1385,92.8,True,329,98,359,118,0.99,car,102.24137931034483
2991,1392,92.8,True,370,98,408,118,0.99,car,103.13793103448276
3001,1376,167.0,True,283,94,320,123,0.99,car,103.48275862068965
3039,1398,167.0,True,404,96,445,116,0.99,car,104.79310344827586
3049,1079,119.3,True,323,94,358,119,0.99,car,105.13793103448276
3084,1401,75.9,False,324,93,356,115,0.99,car,106.34482758620689
3168,1400,92.8,True,318,92,357,119,0.99,car,109.24137931034483
3265,1420,139.2,True,289,95,314,114,0.99,car,112.58620689655173
3287,1423,92.8,True,333,97,364,118,0.99,car,113.34482758620689
3404,1437,104.4,True,375,93,422,121,0.99,car,117.37931034482759
3419,1438,75.9,False,328,96,363,120,0.99,car,117.89655172413794
3444,1442,92.8,True,378,95,424,122,0.99,car,118.75862068965517
3476,1447,83.5,False,363,94,405,119,0.99,car,119.86206896551724
3484,1450,104.4,True,404,93,450,120,0.99,car,120.13793103448276
3503,1453,104.4,True,363,99,400,118,0.99,car,120.79310344827586
3512,1455,139.2,True,406,97,449,118,0.99,car,121.10344827586206
3568,1465,69.6,False,361,90,412,120,0.99,car,123.03448275862068
3581,1469,139.2,True,397,95,437,117,0.99,car,123.48275862068965
3626,1473,167.0,True,412,96,459,119,0.99,car,125.03448275862068
3659,1475,92.8,True,336,88,381,118,0.99,car,126.17241379310344
3672,1480,167.0,True,405,97,450,119,0.99,car,126.62068965517241
3697,1478,104.4,True,407,95,454,118,0.99,car,127.48275862068965
3701,1484,83.5,False,286,95,313,117,0.99,car,127.62068965517241
3720,1488,119.3,True,405,96,450,119,0.99,car,128.27586206896552
3744,1492,75.9,False,369,89,405,106,0.99,car,129.10344827586206
3760,1494,104.4,True,328,97,358,117,0.99,car,129.6551724137931
3788,1496,167.0,True,415,95,457,119,0.99,car,130.6206896551724
3819,1499,75.9,False,367,96,408,119,0.99,car,131.68965517241378
3836,1501,75.9,False,369,97,409,117,0.99,car,132.27586206896552
3873,1506,55.7,False,352,85,383,104,0.99,car,133.55172413793105
3886,1508,139.2,True,416,94,462,120,0.99,car,134.0
3915,1511,92.8,True,372,97,410,118,0.99,car,135.0
3933,1515,119.3,True,407,94,453,121,0.99,car,135.6206896551724
3946,1516,69.6,False,330,96,369,121,0.99,car,136.06896551724137
4012,1531,180.0,True,412,93,452,119,0.99,car,138.3448275862069
4017,1528,83.5,False,330,94,372,121,0.99,car,138.51724137931035
4056,1527,69.6,False,86,158,146,211,0.99,car,139.86206896551724
4064,1541,167.0,True,407,95,449,119,0.99,car,140.13793103448276
4082,1543,83.5,False,370,96,408,118,0.99,car,140.75862068965517
4097,1545,64.2,False,332,97,365,120,0.99,car,141.27586206896552
4121,1550,83.5,False,371,96,412,120,0.99,car,142.10344827586206
4133,1555,167.0,True,402,97,448,118,0.99,car,142.51724137931035
4139,1556,139.2,True,-6,130,85,206,0.99,car,142.72413793103448
4175,1557,83.5,False,368,97,407,117,0.99,car,143.9655172413793
4207,1542,180.0,True,412,96,454,121,0.99,car,145.06896551724137
4217,1566,180.0,True,333,93,374,121,0.99,truck,145.41379310344828
