frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
8,1,102.9,True,317,93,384,191,0.99,truck,0.32
39,7,55.4,False,239,120,288,167,0.99,car,1.56
48,8,30.0,False,438,125,455,142,0.99,motorcycle,1.92
79,11,51.4,False,306,117,361,169,0.99,car,3.16
106,14,51.4,False,235,120,285,167,0.99,car,4.24
168,15,42.4,False,381,113,432,155,0.99,car,6.72
184,16,51.4,False,228,117,282,167,0.99,car,7.36
202,17,65.5,False,306,114,363,173,0.99,car,8.08
297,18,45.0,False,312,119,360,165,0.99,car,11.88
350,19,42.4,False,304,120,356,167,0.99,car,14.0
375,21,26.7,False,396,70,507,215,0.99,bus,15.0
390,22,60.0,False,183,117,239,169,0.99,car,15.6
442,23,37.9,False,281,119,332,166,0.99,car,17.68
469,25,45.0,False,205,117,258,166,0.99,car,18.76
491,27,32.7,False,308,106,365,164,0.99,car,19.64
522,31,40.0,False,182,120,235,165,0.99,car,20.88
531,32,36.0,False,311,120,360,166,0.99,car,21.24
551,33,32.7,False,374,121,433,167,0.99,car,22.04
570,34,37.9,False,301,120,349,167,0.99,car,22.8
652,35,31.3,False,364,120,425,167,0.99,car,26.08
672,36,45.0,False,245,119,289,165,0.99,car,26.88
692,37,30.0,False,420,95,509,194,0.99,bus,27.68
700,38,42.4,False,191,110,244,163,0.99,car,28.0
755,39,37.9,False,230,117,284,170,0.99,car,30.2
766,40,51.4,False,165,114,224,168,0.99,car,30.64
787,41,37.9,False,314,120,361,165,0.99,car,31.48
834,42,23.2,False,356,121,417,165,0.99,car,33.36
861,44,48.0,False,182,118,237,165,0.99,car,34.44
926,45,34.3,False,321,121,372,168,0.99,car,37.04
953,51,40.0,False,253,119,298,167,0.99,car,38.12
980,53,32.7,False,227,117,276,168,0.99,truck,39.2
988,43,5.9,False,403,82,517,207,0.99,bus,39.52
1019,54,55.4,False,-5,182,65,259,0.99,car,40.76
1031,56,32.7,False,317,112,363,165,0.99,truck,41.24
1082,62,36.0,False,314,120,366,169,0.99,car,43.28
1103,66,42.4,False,180,117,234,168,0.99,car,44.12
