frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
5,16,102.6,True,716,345,986,705,0.99,car,0.1724137931034483
31,17,90.8,False,1047,322,1292,595,0.99,car,1.0689655172413792
224,24,83.5,False,396,331,574,548,0.99,car,7.724137931034483
228,26,83.5,False,722,341,888,532,0.99,car,7.862068965517241
240,37,92.8,False,1004,319,1277,550,0.99,truck,8.275862068965518
263,49,92.8,False,714,319,893,564,0.99,car,9.068965517241379
278,29,75.9,False,413,330,591,565,0.99,car,9.586206896551724
282,44,97.6,False,1028,326,1271,553,0.99,car,9.724137931034482
301,34,92.8,False,731,331,890,533,0.99,car,10.379310344827585
334,38,92.8,False,1040,329,1278,560,0.99,car,11.517241379310345
338,41,83.5,False,751,350,914,543,0.99,car,11.655172413793103
368,50,92.8,False,1018,325,1256,549,0.99,car,12.689655172413794
391,51,92.8,False,751,331,915,536,0.99,car,13.482758620689655
418,52,64.2,False,519,361,652,526,0.99,car,14.413793103448276
420,57,69.6,False,745,341,925,551,0.99,car,14.482758620689655
436,61,75.9,False,1015,346,1231,541,0.99,car,15.03448275862069
442,58,59.7,False,531,356,655,511,0.99,car,15.241379310344827
478,67,69.6,False,1008,350,1192,518,0.99,car,16.482758620689655
512,68,44.0,False,738,373,857,498,0.99,car,17.655172413793103
523,65,39.8,False,276,374,421,491,0.99,car,18.03448275862069
524,72,49.1,False,988,374,1157,507,0.99,car,18.06896551724138
562,75,46.4,False,756,377,886,511,0.99,car,19.379310344827587
576,87,55.7,False,527,382,651,509,0.99,car,19.862068965517242
614,85,55.7,False,1039,364,1205,507,0.99,car,21.17241379310345
636,81,44.0,False,540,367,669,498,0.99,car,21.93103448275862
670,91,49.1,False,773,359,915,521,0.99,car,23.103448275862068
670,100,39.8,False,482,364,619,519,0.99,car,23.103448275862068
689,78,46.4,False,208,366,389,521,0.99,car,23.75862068965517
704,97,59.7,False,1045,357,1230,521,0.99,car,24.275862068965516
