frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
96,1,18.38,False,686,361,849,504,0.87,car,3.2
26,6,72.0,False,392,360,575,506,0.82,car,0.8666666666666667
124,7,14.16,False,376,362,540,504,0.82,car,4.133333333333334
160,8,10.94,False,763,364,917,503,0.77,car,5.333333333333333
108,13,120.0,True,486,205,591,290,0.52,car,3.6
24,14,108.0,True,740,369,902,495,0.68,car,0.8
234,15,10.05,False,765,354,946,516,0.7,car,7.8
42,16,61.71,False,0,234,79,340,0.77,car,1.4
174,17,11.37,False,401,359,560,505,0.79,car,5.8
82,18,72.0,False,0,242,64,334,0.87,car,2.7333333333333334
298,21,9.14,False,361,369,531,498,0.73,car,9.933333333333334
282,24,11.22,False,726,363,881,502,0.83,car,9.4
178,25,61.71,False,0,241,74,336,0.79,car,5.933333333333334
220,27,72.0,False,403,360,565,508,0.73,car,7.333333333333333
302,29,57.6,False,0,227,90,350,0.79,car,10.066666666666666
