frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
61,80,105.0,True,713,361,838,506,0.99,car,2.103448275862069
63,79,93.6,False,932,391,1098,539,0.99,car,2.1724137931034484
99,81,93.3,False,720,365,868,524,0.99,car,3.413793103448276
132,85,91.5,False,936,363,1098,539,0.99,car,4.551724137931035
135,83,93.2,False,684,376,823,535,0.99,car,4.655172413793103
239,87,104.5,True,703,356,824,510,0.99,car,8.241379310344827
256,89,103.8,True,568,352,702,522,0.99,car,8.827586206896552
306,96,93.3,False,710,359,853,530,0.99,car,10.551724137931034
