frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
6,101,99.1,False,727,346,954,559,0.99,car,0.20689655172413793
33,102,104.7,True,1065,325,1303,571,0.99,car,1.1379310344827587
225,105,92.7,False,392,331,575,542,0.99,car,7.758620689655173
229,106,85.0,False,720,342,893,540,0.99,car,7.896551724137931
242,103,5.0,False,1007,319,1277,549,0.99,truck,8.344827586206897
264,108,92.0,False,716,318,893,546,0.99,car,9.10344827586207
279,109,76.9,False,406,326,591,550,0.99,car,9.620689655172415
283,110,97.4,False,1033,327,1276,546,0.99,car,9.758620689655173
303,111,92.2,False,735,343,907,549,0.99,car,10.448275862068966
336,112,76.2,False,1051,333,1292,562,0.99,car,11.586206896551724
339,113,93.5,False,750,350,920,540,0.99,car,11.689655172413794
370,114,84.6,False,1029,334,1271,550,0.99,car,12.758620689655173
393,116,74.3,False,753,342,930,550,0.99,car,13.551724137931034
419,117,65.7,False,518,350,657,520,0.99,car,14.448275862068966
420,118,74.7,False,741,329,923,536,0.99,car,14.482758620689655
437,121,77.0,False,1003,333,1221,532,0.99,car,15.068965517241379
444,120,55.9,False,523,371,655,535,0.99,car,15.310344827586206
513,123,47.2,False,739,379,861,504,0.99,car,17.689655172413794
525,124,38.4,False,258,387,410,511,0.99,car,18.103448275862068
525,125,48.0,False,991,379,1165,517,0.99,car,18.103448275862068
562,126,51.9,False,752,368,881,500,0.99,car,19.379310344827587
576,127,59.2,False,530,375,653,502,0.99,car,19.862068965517242
615,128,54.5,False,1043,370,1214,515,0.99,car,21.20689655172414
637,129,44.2,False,538,369,669,502,0.99,car,21.96551724137931
670,130,40.6,False,487,357,622,509,0.99,car,23.103448275862068
671,131,49.7,False,769,350,913,514,0.99,car,23.137931034482758
690,132,46.3,False,199,371,384,530,0.99,car,23.79310344827586
705,133,61.0,False,1050,363,1240,529,0.99,car,24.310344827586206
