frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
24,136,51.5,False,111,152,144,176,0.99,car,0.8275862068965517
54,150,38.3,False,87,151,129,184,0.99,car,1.8620689655172413
84,157,20.0,False,22,153,76,187,0.99,car,2.896551724137931
142,178,20.7,False,336,151,377,180,0.99,car,4.896551724137931
162,185,27.2,False,93,149,131,181,0.99,car,5.586206896551724
179,186,21.3,False,-3,147,40,180,0.99,car,6.172413793103448
190,184,12.5,False,426,156,472,180,0.99,car,6.551724137931035
322,203,9.5,False,71,153,110,183,0.99,car,11.10344827586207
324,216,29.5,False,166,153,191,177,0.99,car,11.172413793103448
343,188,5.2,False,432,174,480,220,0.99,car,11.827586206896552
358,161,5.0,False,354,154,402,186,0.99,car,12.344827586206897
415,172,5.0,False,297,100,319,117,0.99,car,14.310344827586206
415,245,59.1,False,268,102,285,115,0.99,car,14.310344827586206
441,259,43.0,False,-7,146,38,183,0.99,car,15.206896551724139
453,260,27.7,False,342,98,374,119,0.99,car,15.620689655172415
474,262,21.6,False,300,94,335,120,0.99,car,16.344827586206897
535,204,5.0,False,380,153,447,196,0.99,car,18.448275862068964
552,283,110.7,True,311,97,337,118,0.99,car,19.03448275862069
646,180,5.0,False,309,147,357,182,0.99,car,22.275862068965516
664,145,5.0,False,371,151,437,193,0.99,car,22.896551724137932
681,308,112.3,True,306,97,332,116,0.99,truck,23.482758620689655
796,297,6.8,False,273,90,298,108,0.99,car,27.448275862068964
883,254,5.0,False,342,92,377,116,0.99,car,30.448275862068964
925,249,5.0,False,335,78,415,133,0.99,car,31.896551724137932
931,290,5.0,False,323,71,386,118,0.99,truck,32.10344827586207
946,299,5.0,False,152,94,182,121,0.99,car,32.62068965517241
969,275,5.0,False,386,96,421,117,0.99,car,33.41379310344828
988,302,5.0,False,31,94,78,121,0.99,car,34.06896551724138
1075,281,5.0,False,79,91,115,118,0.99,car,37.06896551724138
1077,376,94.5,False,315,96,344,119,0.99,truck,37.13793103448276
1090,366,29.2,False,17,94,68,123,0.99,car,37.58620689655172
1095,224,5.3,False,23,138,94,188,0.99,car,37.758620689655174
