frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
26,926,42.0,False,390,358,584,506,0.99,car,0.8666666666666667
30,933,35.6,False,735,375,906,489,0.99,car,1.0
39,937,33.5,False,1,233,71,344,0.99,car,1.3
81,941,30.8,False,1,239,60,337,0.99,car,2.7
99,924,9.6,False,673,362,859,508,0.99,car,3.3
117,942,108.7,True,0,240,36,336,0.99,car,3.9
126,929,8.1,False,374,360,541,505,0.99,car,4.2
162,930,5.8,False,751,367,922,502,0.99,car,5.4
177,931,5.0,False,396,360,564,506,0.99,car,5.9
177,944,27.8,False,1,239,70,338,0.99,car,5.9
210,945,27.2,False,1,239,73,337,0.99,car,7.0
220,946,26.4,False,412,356,580,508,0.99,car,7.333333333333333
228,938,97.0,False,444,231,574,343,0.99,car,7.6
239,936,5.4,False,767,362,953,502,0.99,car,7.966666666666667
279,943,5.8,False,716,365,877,499,0.99,car,9.3
294,949,40.4,False,1,220,73,355,0.99,car,9.8
306,947,8.5,False,360,377,532,491,0.99,car,10.2
