frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
14,1,139.2,True,9,154,55,180,0.86,car,0.4827586206896552
24,2,75.93,False,107,153,143,180,0.71,car,0.8275862068965517
158,3,12.28,False,298,98,308,105,0.53,car,5.448275862068965
82,5,29.83,False,30,147,85,182,0.72,car,2.8275862068965516
41,6,120.0,True,359,172,413,211,0.72,car,1.4137931034482758
444,8,4.59,False,295,99,318,116,0.78,car,15.310344827586206
140,9,33.41,False,310,103,323,113,0.53,car,4.827586206896552
660,10,2.98,False,275,98,298,116,0.56,car,22.75862068965517
198,12,18.98,False,272,102,283,111,0.51,car,6.827586206896552
176,13,24.56,False,311,104,324,113,0.71,car,6.068965517241379
123,14,120.0,True,147,103,161,113,0.74,car,4.241379310344827
384,15,6.47,False,294,100,312,115,0.69,car,13.241379310344827
644,16,3.33,False,313,154,365,191,0.57,car,22.20689655172414
134,17,120.0,True,198,99,209,106,0.61,car,4.620689655172414
2606,18,0.68,False,286,94,314,117,0.66,car,89.86206896551724
1654,19,1.14,False,303,95,330,116,0.64,car,57.03448275862069
194,20,120.0,True,100,154,140,183,0.75,car,6.689655172413793
1140,21,1.82,False,277,97,301,115,0.7,car,39.310344827586206
930,22,120.0,True,390,97,423,117,0.69,car,32.06896551724138
372,23,17.04,False,320,100,344,116,0.68,car,12.827586206896552
324,24,25.31,False,164,154,191,179,0.67,car,11.172413793103448
354,27,75.93,False,152,92,164,101,0.57,car,12.206896551724139
424,28,21.98,False,334,100,357,116,0.69,car,14.620689655172415
552,29,8.7,False,310,96,335,117,0.71,car,19.03448275862069
4282,30,0.43,False,45,95,85,120,0.74,car,147.6551724137931
400,31,75.93,False,348,101,371,115,0.75,car,13.793103448275861
4176,32,0.44,False,62,94,103,123,0.8,car,144.0
680,33,5.84,False,307,97,334,116,0.7,car,23.448275862068964
594,35,8.98,False,337,99,365,114,0.69,car,20.482758620689655
454,36,64.25,False,336,95,366,114,0.6,car,15.655172413793103
526,37,18.56,False,380,99,412,116,0.72,car,18.137931034482758
664,38,8.11,False,364,144,426,184,0.83,car,22.896551724137932
