frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
472,1,12.06,False,236,24,254,40,0.61,car,18.88
164,4,10.37,False,293,29,312,44,0.51,car,6.56
184,5,14.9,False,263,33,283,49,0.63,car,7.36
158,6,190.92,True,395,146,460,200,0.64,car,6.32
172,7,141.8,True,210,164,276,231,0.75,car,6.88
196,8,138.29,True,309,142,369,207,0.6,car,7.84
280,9,148.03,True,322,182,389,256,0.75,car,11.2
328,10,138.26,True,322,202,399,281,0.63,car,13.12
364,11,145.07,True,408,92,538,271,0.91,bus,14.56
378,12,138.5,True,152,174,224,246,0.52,truck,15.12
398,13,74.89,False,198,98,239,137,0.63,car,15.92
426,14,74.58,False,292,166,351,230,0.65,car,17.04
502,15,166.82,True,139,191,213,261,0.7,car,20.08
470,16,109.06,True,321,167,398,251,0.6,car,18.8
508,17,132.25,True,319,190,389,266,0.58,car,20.32
526,18,136.28,True,425,193,512,264,0.64,car,21.04
550,19,137.68,True,302,183,367,256,0.71,car,22.0
632,20,101.97,True,391,166,474,236,0.76,car,25.28
658,21,132.5,True,231,168,288,232,0.58,car,26.32
670,22,120.96,True,445,132,566,272,0.92,bus,26.8
682,23,161.71,True,164,179,239,257,0.64,truck,27.28
732,24,135.75,True,207,192,284,273,0.85,car,29.28
978,25,521.83,True,135,66,168,96,0.7,car,39.12
766,26,132.47,True,319,186,387,257,0.68,car,30.64
794,27,103.38,True,419,206,518,287,0.83,car,31.76
846,28,151.67,True,148,175,223,246,0.84,car,33.84
1048,29,86.19,False,0,128,64,185,0.65,car,41.92
884,30,70.46,False,425,106,583,288,0.94,bus,35.36
902,31,124.16,True,334,192,410,268,0.74,car,36.08
934,32,112.0,True,251,176,314,245,0.72,car,37.36
1106,33,84.65,False,0,180,23,234,0.68,car,44.24
958,34,110.08,True,202,179,268,250,0.7,car,38.32
1022,35,570.46,True,93,71,131,103,0.8,car,40.88
1092,36,46.22,False,21,118,94,176,0.57,car,43.68
1020,37,81.5,False,320,135,377,203,0.63,car,40.8
1044,38,548.85,True,112,10,152,51,0.51,bus,41.76
1060,39,119.21,True,325,184,398,259,0.68,car,42.4
1110,40,428.37,True,170,27,189,41,0.56,car,44.4
1084,41,161.62,True,142,185,221,261,0.67,car,43.36
1134,42,51.41,False,75,71,117,113,0.51,car,45.36
1188,43,10.39,False,121,9,162,48,0.65,bus,47.52
