frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
18,1,165.4,True,227,42,251,64,0.73,car,0.72
20,2,26.6,False,313,69,362,142,0.6,bus,0.8
32,3,55.5,False,231,147,286,201,0.67,car,1.28
70,4,59.33,False,314,152,374,214,0.58,car,2.8
96,5,57.13,False,223,158,278,216,0.6,car,3.84
154,6,69.96,False,404,163,474,226,0.75,car,6.16
176,7,54.66,False,219,148,277,206,0.76,car,7.04
196,8,54.39,False,309,142,369,207,0.6,car,7.84
284,9,58.54,False,320,164,380,227,0.74,car,11.36
336,10,51.82,False,314,165,378,226,0.54,car,13.44
368,11,56.32,False,406,84,524,246,0.89,bus,14.72
460,12,48.09,False,192,147,252,205,0.75,car,18.4
400,13,28.13,False,199,93,241,132,0.58,car,16.0
440,14,28.56,False,286,126,334,172,0.66,car,17.6
504,15,60.17,False,144,181,220,247,0.79,car,20.16
476,16,42.13,False,319,145,385,218,0.72,car,19.04
512,17,51.28,False,316,175,383,242,0.69,car,20.48
530,18,52.06,False,415,178,495,244,0.66,car,21.2
554,19,53.61,False,302,167,363,231,0.76,car,22.16
636,20,41.49,False,384,156,462,218,0.77,car,25.44
660,21,53.75,False,234,160,287,221,0.69,car,26.4
674,22,45.47,False,439,125,552,254,0.77,bus,26.96
687,23,53.82,False,171,159,238,231,0.52,truck,27.48
736,24,52.42,False,210,176,283,248,0.77,car,29.44
980,25,108.12,True,131,68,166,99,0.71,car,39.2
770,26,52.29,False,319,170,380,232,0.79,car,30.8
798,27,41.03,False,411,195,504,271,0.84,car,31.92
850,28,58.9,False,160,156,225,219,0.76,car,34.0
1050,29,35.73,False,0,136,56,194,0.64,car,42.0
886,30,28.31,False,424,106,576,281,0.93,bus,35.44
906,31,48.46,False,332,177,405,245,0.73,car,36.24
936,32,47.21,False,251,168,312,234,0.61,car,37.44
1106,33,32.69,False,0,180,23,234,0.68,car,44.24
960,34,44.0,False,205,171,269,241,0.68,car,38.4
1022,35,179.02,True,93,71,131,103,0.8,car,40.88
1022,37,33.46,False,320,130,374,196,0.61,car,40.88
1050,38,178.73,True,144,47,175,73,0.61,car,42.0
1064,39,47.97,False,322,169,389,237,0.57,car,42.56
1111,40,86.45,False,170,27,189,41,0.56,car,44.44
1088,41,60.35,False,152,167,222,234,0.63,car,43.52
1134,42,21.24,False,75,71,117,113,0.51,car,45.36
