frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
9,6,90.0,False,317,93,382,186,0.99,bus,0.36
39,8,80.0,False,240,123,285,164,0.99,car,1.56
79,11,55.4,False,308,122,359,166,0.99,car,3.16
106,13,51.4,False,237,124,281,162,0.99,car,4.24
187,19,51.4,False,235,111,282,147,0.99,car,7.48
205,21,48.0,False,314,111,355,151,0.99,car,8.2
297,26,45.0,False,316,122,357,161,0.99,car,11.88
350,27,45.0,False,305,122,355,165,0.99,car,14.0
378,35,102.9,True,397,70,497,198,0.99,bus,15.12
390,34,65.5,False,189,123,233,162,0.99,car,15.6
441,39,65.5,False,287,125,330,164,0.99,car,17.64
522,53,42.4,False,185,124,232,161,0.99,car,20.88
531,57,45.0,False,312,122,359,164,0.99,car,21.24
551,58,32.7,False,372,121,434,166,0.99,car,22.04
570,61,37.9,False,305,124,347,164,0.99,car,22.8
652,65,31.3,False,369,123,421,163,0.99,car,26.08
692,72,90.0,False,421,97,507,192,0.99,bus,27.68
760,74,32.7,False,239,114,283,152,0.99,truck,30.4
769,76,60.0,False,175,108,221,144,0.99,truck,30.76
787,79,45.0,False,316,122,359,161,0.99,car,31.48
834,81,20.6,False,356,123,418,165,0.99,car,33.36
866,85,36.0,False,194,110,233,141,0.99,car,34.64
926,92,34.3,False,322,123,371,165,0.99,car,37.04
980,75,36.0,False,228,118,275,167,0.99,car,39.2
987,89,6.2,False,403,82,519,207,0.99,bus,39.48
1029,113,55.4,False,318,116,363,151,0.99,car,41.16
1082,119,37.9,False,315,122,365,166,0.99,car,43.28
1107,125,48.0,False,188,108,232,141,0.99,car,44.28
