frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
8,2,120.0,True,317,96,383,191,0.6,truck,0.32
40,3,102.86,True,240,119,286,163,0.78,car,1.6
80,4,120.0,True,309,118,359,165,0.62,car,3.2
108,5,90.0,False,238,122,281,160,0.74,car,4.32
166,6,102.86,True,384,120,437,163,0.64,car,6.64
184,7,102.86,True,228,121,280,168,0.77,car,7.36
202,8,120.0,True,309,118,362,171,0.63,car,8.08
298,9,90.0,False,313,118,359,162,0.79,car,11.92
350,10,90.0,False,303,121,356,167,0.55,car,14.0
376,11,80.0,False,399,73,501,208,0.92,bus,15.04
452,12,19.46,False,173,182,245,256,0.56,car,18.08
392,13,120.0,True,188,119,235,162,0.58,car,15.68
488,14,80.0,False,313,114,367,171,0.56,car,19.52
444,15,80.0,False,285,117,329,163,0.68,car,17.76
700,16,102.86,True,190,120,240,163,0.68,car,28.0
532,17,72.0,False,312,119,359,163,0.79,car,21.28
522,18,80.0,False,181,122,234,165,0.55,car,20.88
552,19,65.45,False,373,119,431,164,0.78,car,22.08
834,20,48.0,False,358,123,416,166,0.81,car,33.36
652,21,65.45,False,368,120,424,167,0.68,car,26.08
698,22,48.0,False,413,90,496,179,0.5,bus,27.92
672,23,90.0,False,245,119,287,166,0.71,car,26.88
756,24,72.0,False,229,117,283,168,0.7,car,30.24
768,25,90.0,False,170,111,224,160,0.51,car,30.72
788,26,72.0,False,316,118,360,162,0.83,car,31.52
992,28,12.63,False,404,81,517,208,0.9,bus,39.68
1090,29,17.56,False,32,112,101,167,0.5,car,43.6
926,30,72.0,False,322,122,371,167,0.73,car,37.04
954,31,72.0,False,254,119,297,165,0.6,car,38.16
980,34,65.45,False,229,118,274,168,0.65,car,39.2
1030,37,72.0,False,317,112,364,170,0.54,car,41.2
1084,39,65.45,False,315,118,364,163,0.71,car,43.36
1104,40,80.0,False,181,116,235,163,0.58,car,44.16
